Region,Date,Frequency,Estimated Unemployment Rate,Estimated Employed,Estimated Labour Participation Rate,Area,Part,latitude,longitude
Andhra Pradesh,31-05-2019,Monthly,3.65,11999139.0,43.24,Rural,South,15.9129,79.74
Andhra Pradesh,30-06-2019,Monthly,3.05,11755881.0,42.05,Rural,South,15.9129,79.74
Andhra Pradesh,31-07-2019,Monthly,3.75,12086707.0,43.5,Rural,South,15.9129,79.74
Andhra Pradesh,31-08-2019,Monthly,3.32,12285693.0,43.97,Rural,South,15.9129,79.74
Andhra Pradesh,30-09-2019,Monthly,5.17,12256762.0,44.68,Rural,South,15.9129,79.74
Andhra Pradesh,31-10-2019,Monthly,3.52,12017412.0,43.01,Rural,South,15.9129,79.74
Andhra Pradesh,30-11-2019,Monthly,4.12,11397681.0,41.0,Rural,South,15.9129,79.74
Andhra Pradesh,31-12-2019,Monthly,4.38,12528395.0,45.14,Rural,South,15.9129,79.74
Andhra Pradesh,31-01-2020,Monthly,4.84,12016676.0,43.46,Rural,South,15.9129,79.74
Andhra Pradesh,29-02-2020,Monthly,5.91,11723617.0,42.83,Rural,South,15.9129,79.74
Andhra Pradesh,31-03-2020,Monthly,4.06,11359660.0,40.66,Rural,South,15.9129,79.74
Andhra Pradesh,30-04-2020,Monthly,16.29,8792827.0,36.03,Rural,South,15.9129,79.74
Andhra Pradesh,31-05-2020,Monthly,14.46,9526902.0,38.16,Rural,South,15.9129,79.74
Andhra Pradesh,30-06-2020,Monthly,0.85,15572975.0,53.76,Rural,South,15.9129,79.74
Assam,31-05-2019,Monthly,4.29,11749334.0,57.39,Rural,Northeast,26.2006,92.9376
Assam,30-06-2019,Monthly,5.08,8923222.0,43.87,Rural,Northeast,26.2006,92.9376
Assam,31-07-2019,Monthly,4.26,9911534.0,48.21,Rural,Northeast,26.2006,92.9376
Assam,31-08-2019,Monthly,5.79,9292039.0,45.83,Rural,Northeast,26.2006,92.9376
Assam,30-09-2019,Monthly,4.46,11468349.0,55.67,Rural,Northeast,26.2006,92.9376
Assam,31-10-2019,Monthly,4.65,8395906.0,40.76,Rural,Northeast,26.2006,92.9376
Assam,30-11-2019,Monthly,4.66,9625362.0,46.64,Rural,Northeast,26.2006,92.9376
Assam,31-01-2020,Monthly,4.29,11420996.0,54.9,Rural,Northeast,26.2006,92.9376
Assam,29-02-2020,Monthly,3.26,8462814.0,40.17,Rural,Northeast,26.2006,92.9376
